Kloeke;pronomen;predicaat;category;source
Q086p;djie;bis;du_bist;
Q096a;dich;bist;du_bist;
Q096a;du;bis;du_bist;
Q112b;jij;is;jij_is;
Q113p;du;bis;du_bist;
Q117p;de;bis;du_bist;
Q117p;du;bis;du_bist;
Q121p;doe;bis;du_bist;
Q156p;djie;zijt;gij_zijt;
Q156p;dje;zijt;gij_zijt;
Q162p;dje;zijt;gij_zijt;
Q162p;je;zet;jij_zijt;
Q170p;de;bis;du_bist;
Q170p;de;bis;du_bist;
Q193p;dich;bis;du_bist;
Q194p;dich;bis;du_bist;
Q222p;du;bist;du_bist;
Q240p;je;zet;jij_zijt;
